address,group,name,fields_address,fields_count,fields
0x18017AB90,default,EtCTWorkSpaceAppPhotonewbatchappCompressBatchtoolmenu,0x18017AB60,1,filter:bool
0x18013BCD0,default,EtCTWorkSpaceAppPhotonewbatchappCorrectingBatchtoolmenu,0x18013BCB8,1,filter:bool
0x1801578F0,default,EtCTWorkSpaceAppPhotonewbatchappDimensionBatchtoolmenu,0x1801578D8,1,filter:bool
0x180134E58,default,EtCTWorkSpaceAppPhotonewbatchappTextWatermarkBatchtoolmenu,0x180134E40,1,filter:bool
0x180169070,default,EtCTWorkSpaceAppPhotospliceappMenu,0x180169000,1,filter:bool
0x18015C510,default,EtCTWorkSpaceDocumentSlimmingTab,0x18015C4F8,1,filter:bool
0x1801240C0,default,EtCTWorkSpaceExportPDFInWorkSpaceTab,0x180124068,1,filter:bool
0x180195900,default,EtCTWorkSpaceExportWeiboImageCmd,0x1801958C8,1,filter:bool
0x18019CB40,default,EtCTWorkSpaceListConvenienceWorkspace,0x18019CAE8,1,filter:bool
0x18015AE20,default,EtCTWorkSpaceListTypetransferWorkspace,0x18015AE08,1,filter:bool
0x18019A1B0,default,EtCTWorkSpaceScreenGrabOcrMenu,0x18019A180,1,filter:bool
0x180133D20,default,EtCTWorkSpaceVipappAiEtConditional,0x180133CE8,1,filter:bool
0x1801C0CF0,default,EtCTWorkSpaceVipappAiEtFormula,0x1801C0CB8,1,filter:bool
0x180190960,default,EtCurrency,0x180190928,1,filter:bool
0x18018C550,default,EtCustomDataType,0x18018C518,1,support:bool
0x180142798,default,EtCustomUnderLinePos,0x180142780,1,support:bool
0x180147268,default,ETDataAnalytics,0x180147250,1,filter:bool
0x180158A88,default,ETDataImportDataFromImg,0x180158A70,1,filter:bool
0x1801A70C0,default,EtDataQuery,0x1801A7088,1,filter:bool
0x18012A918,default,ETDataToolTextAdvanceSplit,0x18012A900,1,filter:bool
0x1801BEFE0,default,EtDataTypeChange,0x1801BEF30,1,filter:bool
0x1801CD960,default,EtDataTypeRefresh,0x1801CD948,1,filter:bool
0x180153068,default,EtDataTypeShowCard,0x180153050,1,filter:bool
0x1801C9D30,default,ETDelayCopyExceptionHelpLink,0x1801C9C48,1,url:string
0x18018BCD0,default,EtDmlShapesAppKresourcesclipRb,0x18018BCB8,1,filter:bool
0x18015DD90,default,EtDmlShapesSeparator,0x18015DD58,1,filter:bool
0x1801BC5B0,default,EtDocerChartStylesQuickBarMac,0x1801BC598,1,filter:bool
0x1801253B0,default,EtDocerResource,0x180125380,1,filter:bool
0x1801AC980,default,EtDocerResourceShop,0x1801AC930,1,filter:bool
0x1801C8810,default,EtDocerResourceShopInIconLibrary,0x1801C87E0,1,filter:bool
0x180152CC0,default,EtDocerResourceShopMulti,0x180152C88,1,filter:bool
0x1801CAD70,default,EtDrawborder,0x1801CAD20,1,filter:bool
0x18015E000,default,EtDsOnlineChartMac,0x18015DFE8,1,filter:bool
0x1801546F0,default,EtDsWebExtensionEdit,0x1801546A0,1,filter:bool
0x18012F940,default,EtDuplicateSkipVip,0x18012F880,1,support:bool
0x18015EEC0,default,EtEditClearDuplicates,0x18015EE10,1,filter:bool
0x1801B0D48,default,EtEditSelectiveClear,0x1801B0D30,1,filter:bool
0x1801A8AD0,default,EtExportDuplicatesChart,0x1801A8AB8,1,support:bool
0x1801CB848,default,EtExtendedShapeStyles,0x1801CB830,1,filter:bool
0x1801739C0,default,EtFakeMSO2016,0x180173970,1,support:bool
0x1801A3AD0,default,EtFileCreateOnLineDoc,0x1801A3AB8,1,filter:bool
0x1801CFD20,default,EtFileMenuShareMenuAirDrop,0x1801CFCD0,1,filter:bool
0x180194AD0,default,EtFileMenuSplitMergeMenu,0x180194A88,1,filter:bool
0x1801C08C8,default,EtFileShareLink,0x1801C08B0,1,support:bool
0x180122220,default,EtFillBlankCells,0x1801221C8,1,filter:bool
0x1801C2110,default,EtFillOnlinePictureFromMenu,0x1801C20F8,1,filter:bool
0x1801A4900,default,EtFillPictureFromDocerResourceShop,0x1801A48C8,1,filter:bool
0x1801B4720,default,EtFilterTreeView,0x1801B46B0,1,presetSrcollBarWidth:bool
0x18019CB20,default,ETFloatFontAiTranslateMultiLang,0x18019CAD0,1,support:bool
0x1801292C0,default,EtFormsToolboxCommandButton,0x180129288,1,filter:bool
0x18014AED8,default,EtFormulaAssistant,0x18014AEC0,1,filter:bool
0x18017B750,default,EtFreezePane,0x18017B720,1,filter:bool
0x1801BB7B0,default,EtFromOnline,0x1801BB778,1,support:bool
0x18015B3B0,default,EtFromOnlineOnToolBar,0x18015B378,1,support:bool
0x1801BB340,default,EtFromOnlineOnToolBarProxyCommandButtonCommand,0x1801BB2D8,1,support:bool
0x180146FD8,default,EtFromOnlinePicProxy,0x180146FC0,1,filter:bool
0x180141A10,default,EtFuncDlgHelpLink,0x180141990,1,support:bool
0x18012A590,default,EtHideAfContextTab,0x18012A560,1,support:bool
0x180127670,default,EtHomeDoubleUnderline,0x180127638,1,filter:bool
0x180138F40,default,EtHomeFillEtToolBox,0x180138EE0,1,filter:bool
0x180146650,default,EtHomeKsplitmerge,0x180146638,1,filter:bool
0x1801323B0,default,EtHookPrinter,0x180132360,1,filter:bool
0x1801A7EE0,default,EtImageDbClickSetting,0x1801A7EC8,1,filter:bool
0x18015B980,default,EtImageDbClickSettingMenu,0x18015B950,1,filter:bool
0x18014D690,default,EtInputLetterSequence,0x18014D650,1,filter:bool
0x1801C47D0,default,EtInputNumericSequence,0x1801C47A0,1,filter:bool
0x1801C2980,default,EtInputRomanNumericSequence,0x1801C2938,1,filter:bool
0x1801B7CA0,default,ETInsertCharsGroup,0x1801B7C68,1,filter:bool
0x1801C4700,default,EtInsertDiagonalHeader,0x1801C46B0,1,filter:bool
0x1801AA208,default,EtInsertDiagonalHeaderDrawborder,0x1801AA1F0,1,filter:bool
